epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1161.34,0.55914,0.55682,0.85202,0.99713,0.99295,0.99462,0.87591,0.52106,0.5236,0.84076,0.0005941,0.0005941,0.0005941
43,1188.36,0.58492,0.58622,0.85727,0.99605,0.99281,0.99471,0.8701,0.52462,0.53691,0.8402,0.0005842,0.0005842,0.0005842
44,1215.42,0.58939,0.56648,0.84847,0.99488,0.99274,0.99468,0.8749,0.51067,0.55704,0.83695,0.0005743,0.0005743,0.0005743
45,1242.24,0.58302,0.56829,0.85276,0.99613,0.99091,0.99468,0.8747,0.51717,0.56259,0.83853,0.0005644,0.0005644,0.0005644
46,1269.25,0.57049,0.5713,0.8406,0.99613,0.99091,0.99468,0.8747,0.51717,0.56259,0.83853,0.0005545,0.0005545,0.0005545
47,1296.21,0.5786,0.55879,0.84124,0.99646,0.99084,0.99471,0.87665,0.5156,0.53832,0.83694,0.0005446,0.0005446,0.0005446
48,1323.59,0.5731,0.55255,0.84967,0.99733,0.99087,0.99473,0.88065,0.50227,0.50679,0.83157,0.0005347,0.0005347,0.0005347
49,1350.99,0.57626,0.54756,0.85534,0.9953,0.99285,0.99473,0.87825,0.52242,0.49144,0.83436,0.0005248,0.0005248,0.0005248
50,1377.98,0.55345,0.5331,0.85235,0.99494,0.99286,0.99465,0.87894,0.50706,0.48616,0.83342,0.0005149,0.0005149,0.0005149
51,1405.09,0.54254,0.52925,0.83994,0.99576,0.9908,0.99471,0.88397,0.4903,0.48477,0.83278,0.000505,0.000505,0.000505
52,1431.96,0.54395,0.51838,0.84569,0.99374,0.99204,0.99479,0.88599,0.48819,0.4827,0.83182,0.0004951,0.0004951,0.0004951
53,1459.14,0.56039,0.52607,0.83259,0.99349,0.99285,0.99479,0.89097,0.4831,0.48573,0.82778,0.0004852,0.0004852,0.0004852
54,1486.63,0.57473,0.52435,0.83597,0.99349,0.99285,0.99479,0.89097,0.4831,0.48573,0.82778,0.0004753,0.0004753,0.0004753
55,1513.74,0.55382,0.51479,0.83268,0.99425,0.99284,0.99479,0.89023,0.48088,0.49715,0.82622,0.0004654,0.0004654,0.0004654
56,1542.95,0.53107,0.51277,0.83335,0.99765,0.99081,0.99481,0.88941,0.48695,0.50548,0.82886,0.0004555,0.0004555,0.0004555
57,1570.35,0.53654,0.51442,0.83598,0.99758,0.99246,0.99481,0.88427,0.50966,0.5055,0.8341,0.0004456,0.0004456,0.0004456
58,1597.65,0.5544,0.5121,0.84206,0.99802,0.9929,0.99481,0.88668,0.50155,0.49435,0.83248,0.0004357,0.0004357,0.0004357
59,1624.98,0.54381,0.50677,0.83168,0.99801,0.99294,0.99479,0.89311,0.48057,0.47769,0.82825,0.0004258,0.0004258,0.0004258
60,1653.5,0.56724,0.5021,0.8395,0.99785,0.99284,0.99479,0.89153,0.47628,0.46239,0.82831,0.0004159,0.0004159,0.0004159
61,1680.97,0.52856,0.49238,0.83457,0.99756,0.99286,0.99479,0.88743,0.47288,0.45598,0.82987,0.000406,0.000406,0.000406
62,1709.91,0.53639,0.49377,0.84056,0.99756,0.99286,0.99479,0.88743,0.47288,0.45598,0.82987,0.0003961,0.0003961,0.0003961
63,1737.81,0.50486,0.46624,0.83309,0.99723,0.99289,0.99481,0.89176,0.46539,0.4503,0.82834,0.0003862,0.0003862,0.0003862
64,1764.9,0.50964,0.48397,0.84023,0.99695,0.99296,0.99481,0.89453,0.45951,0.44188,0.82622,0.0003763,0.0003763,0.0003763
65,1792.17,0.52615,0.49224,0.83836,0.99627,0.99367,0.99488,0.89135,0.46923,0.44003,0.82679,0.0003664,0.0003664,0.0003664
66,1820.98,0.51361,0.47889,0.83744,0.99653,0.99376,0.99491,0.88964,0.47135,0.43966,0.82707,0.0003565,0.0003565,0.0003565
67,1848.95,0.50569,0.47189,0.83516,0.99703,0.99382,0.99491,0.89408,0.46584,0.44027,0.82752,0.0003466,0.0003466,0.0003466
68,1876.03,0.515,0.4811,0.8427,0.99726,0.99392,0.99491,0.89322,0.46057,0.44602,0.82699,0.0003367,0.0003367,0.0003367
69,1903.19,0.53207,0.48,0.82724,0.99732,0.9939,0.99491,0.89316,0.45577,0.44839,0.82544,0.0003268,0.0003268,0.0003268
70,1930.07,0.525,0.48756,0.83495,0.99732,0.9939,0.99491,0.89316,0.45577,0.44839,0.82544,0.0003169,0.0003169,0.0003169
